year,million_60kgs_bag,nonbear_mill_trees,bear_mill_trees
2002,16.2,1500.0,4465.0
2003,26.7,1125.0,5265.0
2004,14.4,631.0,5050.0
2005,21.4,466.0,5255.0
2006,16.3,581.0,5330.0
2007,23.7,563.0,5730.0
2008,16.85,679.0,5720.0
2009,25.55,663.0,5770.0
2010,22.1,873.0,5725.0
2011,28.5,815.0,5820.0
2012,23.5,835.0,5760.0
2013,28.5,1000.0,5860.0
2014,29.4,1055.0,5810.0
2015,26.0,1185.0,5770.0
2016,25.3,1125.0,5735.0
2017,32.5,1300.0,5640.0
2019,34.2,1150.0,5740.0
2020,29.1,1230.0,5700.0
2021,34.8,1050.0,6200.0
2022,24.5,1500.0,6010.0
2023,28.5,1510.0,6100.0
